"Ano","Mês","Município","Código Seção","Descrição Seção","Valor US$ FOB"
"
2024","04. Abril","
Campinas - SP","
I","
Animais vivos e produtos do reino animal","1584"
"
2024","04. Abril","
Campinas - SP","
II","
Produtos do reino vegetal","950722"
"
2024","04. Abril","
Campinas - SP","
III","
Gorduras e óleos animais ou vegetais, Produtos da sua dossociação, Gorduras alimentares elaboradas, Ceras de origem animal ou vegetal","962080"
"
2024","04. Abril","
Campinas - SP","
IV","
Produtos das indútrias alimentares, Bebidas, líquidos alcoólicos e vinagres, Tabaco e seus sucedâneos manufaturados","2776048"
"
2024","04. Abril","
Campinas - SP","
IX","
Madeira, carvão vegetal e obras de madeira, Cortiça e suas obras, Obras de espartaria ou de cestaria","1773"
"
2024","04. Abril","
Campinas - SP","
V","
Produtos minerais","13061250"
"
2024","04. Abril","
Campinas - SP","
VI","
Produtos das indústrias químicas ou indústrias conexas","5433854"
"
2024","04. Abril","
Campinas - SP","
VII","
Plásticos e suas obras, Borracha e suas obras","9256741"
"
2024","04. Abril","
Campinas - SP","
VIII","
Peles, couros, peles com pelo e obras destas matérias, Artigos de correeiro ou de seleiro, Artigos de viagem, bolsas e artefatos semelhantes, Obras de tripa","8"
"
2024","04. Abril","
Campinas - SP","
X","
Pastas de madeira ou de outras matérias fibrosas celulósicas, Papel ou cartão para reciclar (desperdícios e aparas), Papel e suas obras","49465"
"
2024","04. Abril","
Campinas - SP","
XI","
Matérias têxteis e suas obras","6785127"
"
2024","04. Abril","
Campinas - SP","
XII","
Calçado, chapéus e artefatos de uso semelhante, guarda-chuvas, guarda-sóis, bengalas, chicotes e suas partes, Penas preparadas e suas obras, Flores artificiais, Obras de cabelo","11575"
"
2024","04. Abril","
Campinas - SP","
XIII","
Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes, Produtos cerâmicos, Vidro e suas obras","111917"
"
2024","04. Abril","
Campinas - SP","
XV","
Metais comuns e suas obras","2587917"
"
2024","04. Abril","
Campinas - SP","
XVI","
Máquinas e aparelhos, material elétrico e suas partes, Aparelhos de gravação ou reprodução de som, aparelhos de gravação ou reprodução de imagens e de som em televisão, e suas partes e acessórios","33840051"
"
2024","04. Abril","
Campinas - SP","
XVII","
Material de transporte","2268782"
"
2024","04. Abril","
Campinas - SP","
XVIII","
Instrumentos e aparelhos de ótica, fotografia ou cinematografia, medida, controle ou de precisão, Instrumentos e aparelhos médico-cirúrgicos, Relógios e aparelhos semelhantes, Instrumentos musicais, Suas partes e acessórios","2229416"
"
2024","04. Abril","
Campinas - SP","
XX","
Mercadorias e produtos diversos","64724"
"
2024","04. Abril","
Campinas - SP","
XXI","
Objetos de arte, de coleção e antiguidades","105"
"
2024","03. Março","
Campinas - SP","
I","
Animais vivos e produtos do reino animal","111488"
"
2024","03. Março","
Campinas - SP","
II","
Produtos do reino vegetal","1319784"
"
2024","03. Março","
Campinas - SP","
III","
Gorduras e óleos animais ou vegetais, Produtos da sua dossociação, Gorduras alimentares elaboradas, Ceras de origem animal ou vegetal","394112"
"
2024","03. Março","
Campinas - SP","
IV","
Produtos das indútrias alimentares, Bebidas, líquidos alcoólicos e vinagres, Tabaco e seus sucedâneos manufaturados","2676366"
"
2024","03. Março","
Campinas - SP","
IX","
Madeira, carvão vegetal e obras de madeira, Cortiça e suas obras, Obras de espartaria ou de cestaria","798"
"
2024","03. Março","
Campinas - SP","
V","
Produtos minerais","16558256"
"
2024","03. Março","
Campinas - SP","
VI","
Produtos das indústrias químicas ou indústrias conexas","5035590"
"
2024","03. Março","
Campinas - SP","
VII","
Plásticos e suas obras, Borracha e suas obras","9136672"
"
2024","03. Março","
Campinas - SP","
VIII","
Peles, couros, peles com pelo e obras destas matérias, Artigos de correeiro ou de seleiro, Artigos de viagem, bolsas e artefatos semelhantes, Obras de tripa","3784"
"
2024","03. Março","
Campinas - SP","
X","
Pastas de madeira ou de outras matérias fibrosas celulósicas, Papel ou cartão para reciclar (desperdícios e aparas), Papel e suas obras","78612"
"
2024","03. Março","
Campinas - SP","
XI","
Matérias têxteis e suas obras","6040842"
"
2024","03. Março","
Campinas - SP","
XII","
Calçado, chapéus e artefatos de uso semelhante, guarda-chuvas, guarda-sóis, bengalas, chicotes e suas partes, Penas preparadas e suas obras, Flores artificiais, Obras de cabelo","264"
"
2024","03. Março","
Campinas - SP","
XIII","
Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes, Produtos cerâmicos, Vidro e suas obras","54150"
"
2024","03. Março","
Campinas - SP","
XIV","
Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos, e suas obras, Bijuteria, Moedas","1594"
"
2024","03. Março","
Campinas - SP","
XV","
Metais comuns e suas obras","2290269"
"
2024","03. Março","
Campinas - SP","
XVI","
Máquinas e aparelhos, material elétrico e suas partes, Aparelhos de gravação ou reprodução de som, aparelhos de gravação ou reprodução de imagens e de som em televisão, e suas partes e acessórios","36384384"
"
2024","03. Março","
Campinas - SP","
XVII","
Material de transporte","3401790"
"
2024","03. Março","
Campinas - SP","
XVIII","
Instrumentos e aparelhos de ótica, fotografia ou cinematografia, medida, controle ou de precisão, Instrumentos e aparelhos médico-cirúrgicos, Relógios e aparelhos semelhantes, Instrumentos musicais, Suas partes e acessórios","1928319"
"
2024","03. Março","
Campinas - SP","
XX","
Mercadorias e produtos diversos","43790"
"
2024","03. Março","
Campinas - SP","
XXI","
Objetos de arte, de coleção e antiguidades","7565"
"
2024","02. Fevereiro","
Campinas - SP","
I","
Animais vivos e produtos do reino animal","415"
"
2024","02. Fevereiro","
Campinas - SP","
II","
Produtos do reino vegetal","1299623"
"
2024","02. Fevereiro","
Campinas - SP","
III","
Gorduras e óleos animais ou vegetais, Produtos da sua dossociação, Gorduras alimentares elaboradas, Ceras de origem animal ou vegetal","415513"
"
2024","02. Fevereiro","
Campinas - SP","
IV","
Produtos das indútrias alimentares, Bebidas, líquidos alcoólicos e vinagres, Tabaco e seus sucedâneos manufaturados","1985357"
"
2024","02. Fevereiro","
Campinas - SP","
IX","
Madeira, carvão vegetal e obras de madeira, Cortiça e suas obras, Obras de espartaria ou de cestaria","2052"
"
2024","02. Fevereiro","
Campinas - SP","
V","
Produtos minerais","11829644"
"
2024","02. Fevereiro","
Campinas - SP","
VI","
Produtos das indústrias químicas ou indústrias conexas","3436713"
"
2024","02. Fevereiro","
Campinas - SP","
VII","
Plásticos e suas obras, Borracha e suas obras","8587414"
"
2024","02. Fevereiro","
Campinas - SP","
VIII","
Peles, couros, peles com pelo e obras destas matérias, Artigos de correeiro ou de seleiro, Artigos de viagem, bolsas e artefatos semelhantes, Obras de tripa","13000"
"
2024","02. Fevereiro","
Campinas - SP","
X","
Pastas de madeira ou de outras matérias fibrosas celulósicas, Papel ou cartão para reciclar (desperdícios e aparas), Papel e suas obras","50597"
"
2024","02. Fevereiro","
Campinas - SP","
XI","
Matérias têxteis e suas obras","3749388"
"
2024","02. Fevereiro","
Campinas - SP","
XII","
Calçado, chapéus e artefatos de uso semelhante, guarda-chuvas, guarda-sóis, bengalas, chicotes e suas partes, Penas preparadas e suas obras, Flores artificiais, Obras de cabelo","122"
"
2024","02. Fevereiro","
Campinas - SP","
XIII","
Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes, Produtos cerâmicos, Vidro e suas obras","86945"
"
2024","02. Fevereiro","
Campinas - SP","
XV","
Metais comuns e suas obras","2293618"
"
2024","02. Fevereiro","
Campinas - SP","
XVI","
Máquinas e aparelhos, material elétrico e suas partes, Aparelhos de gravação ou reprodução de som, aparelhos de gravação ou reprodução de imagens e de som em televisão, e suas partes e acessórios","32311998"
"
2024","02. Fevereiro","
Campinas - SP","
XVII","
Material de transporte","2425485"
"
2024","02. Fevereiro","
Campinas - SP","
XVIII","
Instrumentos e aparelhos de ótica, fotografia ou cinematografia, medida, controle ou de precisão, Instrumentos e aparelhos médico-cirúrgicos, Relógios e aparelhos semelhantes, Instrumentos musicais, Suas partes e acessórios","1382414"
"
2024","02. Fevereiro","
Campinas - SP","
XX","
Mercadorias e produtos diversos","96596"
"
2024","02. Fevereiro","
Campinas - SP","
XXI","
Objetos de arte, de coleção e antiguidades","6400"
"
2024","01. Janeiro","
Campinas - SP","
I","
Animais vivos e produtos do reino animal","203"
"
2024","01. Janeiro","
Campinas - SP","
II","
Produtos do reino vegetal","695098"
"
2024","01. Janeiro","
Campinas - SP","
III","
Gorduras e óleos animais ou vegetais, Produtos da sua dossociação, Gorduras alimentares elaboradas, Ceras de origem animal ou vegetal","303599"
"
2024","01. Janeiro","
Campinas - SP","
IV","
Produtos das indútrias alimentares, Bebidas, líquidos alcoólicos e vinagres, Tabaco e seus sucedâneos manufaturados","3012986"
"
2024","01. Janeiro","
Campinas - SP","
IX","
Madeira, carvão vegetal e obras de madeira, Cortiça e suas obras, Obras de espartaria ou de cestaria","928"
"
2024","01. Janeiro","
Campinas - SP","
V","
Produtos minerais","14579303"
"
2024","01. Janeiro","
Campinas - SP","
VI","
Produtos das indústrias químicas ou indústrias conexas","3927525"
"
2024","01. Janeiro","
Campinas - SP","
VII","
Plásticos e suas obras, Borracha e suas obras","7881367"
"
2024","01. Janeiro","
Campinas - SP","
VIII","
Peles, couros, peles com pelo e obras destas matérias, Artigos de correeiro ou de seleiro, Artigos de viagem, bolsas e artefatos semelhantes, Obras de tripa","21706"
"
2024","01. Janeiro","
Campinas - SP","
X","
Pastas de madeira ou de outras matérias fibrosas celulósicas, Papel ou cartão para reciclar (desperdícios e aparas), Papel e suas obras","65958"
"
2024","01. Janeiro","
Campinas - SP","
XI","
Matérias têxteis e suas obras","13386194"
"
2024","01. Janeiro","
Campinas - SP","
XII","
Calçado, chapéus e artefatos de uso semelhante, guarda-chuvas, guarda-sóis, bengalas, chicotes e suas partes, Penas preparadas e suas obras, Flores artificiais, Obras de cabelo","91"
"
2024","01. Janeiro","
Campinas - SP","
XIII","
Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes, Produtos cerâmicos, Vidro e suas obras","90529"
